sample,time_s,sensor,accel_x_mps2,accel_y_mps2,accel_z_mps2,linear_accel_x_mps2,linear_accel_y_mps2,linear_accel_z_mps2,gyro_x_radps,gyro_y_radps,gyro_z_radps,gyro_x_dps,gyro_y_dps,gyro_z_dps,roll_deg,pitch_deg,yaw_deg,temp_c,diag_stat
300,6.0000552750000224,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635941935764014,5.646755755469692,5.666102186493651,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.09777111657124,35.16661856618366,-0.5999586759000013,24.9,0xFFFF
301,6.020056602000011,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635941275284528,5.646755616127619,5.666102982332276,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.0977758370258,35.16661384572908,-0.6019588215999991,24.9,0xFFFF
302,6.0400552809999795,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635940668149694,5.646755488039615,5.666103713893694,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.09778017622529,35.166609506529596,-0.6039586746000001,24.9,0xFFFF
303,6.060055533000025,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635940049531705,5.646755357528886,5.666104459291579,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.0977845974948,35.166605085260095,-0.6059586999000035,24.9,0xFFFF
304,6.080055211999991,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635939451417273,5.646755231343724,5.666105179983832,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.0977888722249,35.166600810529985,-0.6079586659000031,24.9,0xFFFF
305,6.100055908999991,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.6359388510457284,5.646755104682271,5.66610590339572,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.0977931630864,35.166596519668474,-0.6099587356000032,24.9,0xFFFF
306,6.1200559029999795,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635938272321139,5.64675498258762,5.6661066007242615,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.0977972992367,35.1665923835182,-0.6119587350000021,24.9,0xFFFF
307,6.14005539599998,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635937711026049,5.646754864170012,5.666107277051248,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.09780131081797,35.16658837193693,-0.6139586917000035,24.9,0xFFFF
308,6.160055594000028,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.6359371528256,5.6467547464051995,5.666107949649327,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.09780530028164,35.16658438247328,-0.6159587077000029,24.9,0xFFFF
309,6.180055123999978,adis16470,-0.0122583125,-0.0122583125,-0.0122583125,5.635936614167185,5.646754632763131,5.666108598700382,-0.0017453292519943296,-0.0017453292519943296,-0.0017453292519943296,-0.1,-0.1,-0.1,-135.097809150078,35.16658053267691,-0.6179586626000007,24.9,0xFFFF
