sample,time_s,sensor,message_type,yaw_deg,pitch_deg,roll_deg,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_time_s,gps_week,ins_status,latitude_deg,longitude_deg,altitude_m,vel_n_mps,vel_e_mps,vel_d_mps,raw_message
28,1.120057230000043,vn200,VNINS,-80.211,-5.354,-1.103,,,,,,,,,,353.951257,0000,F880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.951257,0000,F880,-080.211,-005.354,-001.103,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*23"
29,1.1600637010000128,vn200,VNINS,-80.211,-5.354,-1.102,,,,,,,,,,353.976256,0000,F880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000353.976256,0000,F880,-080.211,-005.354,-001.102,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*26"
30,1.2000586700000326,vn200,VNINS,-80.213,-5.355,-1.102,,,,,,,,,,354.001257,0000,7880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.001257,0000,7880,-080.213,-005.355,-001.102,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*5B"
31,1.2400558809999893,vn200,VNINS,-80.212,-5.354,-1.102,,,,,,,,,,354.026256,0000,7880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.026256,0000,7880,-080.212,-005.354,-001.102,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*5F"
32,1.2800570910000033,vn200,VNINS,-80.212,-5.353,-1.102,,,,,,,,,,354.051257,0000,8880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.051257,0000,8880,-080.212,-005.353,-001.102,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*56"
33,1.3200588760000187,vn200,VNINS,-80.212,-5.354,-1.101,,,,,,,,,,354.076257,0000,8880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.076257,0000,8880,-080.212,-005.354,-001.101,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*57"
34,1.3600588650000418,vn200,VNINS,-80.212,-5.354,-1.101,,,,,,,,,,354.101257,0000,0880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.101257,0000,0880,-080.212,-005.354,-001.101,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*5E"
35,1.4000576120000119,vn200,VNINS,-80.211,-5.354,-1.1,,,,,,,,,,354.126256,0000,0880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.126256,0000,0880,-080.211,-005.354,-001.100,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*58"
36,1.4400598050000326,vn200,VNINS,-80.211,-5.355,-1.1,,,,,,,,,,354.151257,0000,A080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.151257,0000,A080,-080.211,-005.355,-001.100,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*21"
37,1.4800592000000279,vn200,VNINS,-80.212,-5.355,-1.099,,,,,,,,,,354.176256,0000,A080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.176256,0000,A080,-080.212,-005.355,-001.099,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*27"
38,1.52005815199999,vn200,VNINS,-80.213,-5.355,-1.1,,,,,,,,,,354.201257,0000,0880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.201257,0000,0880,-080.213,-005.355,-001.100,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*5C"
39,1.5600581400000237,vn200,VNINS,-80.212,-5.354,-1.1,,,,,,,,,,354.226256,0000,0880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.226256,0000,0880,-080.212,-005.354,-001.100,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*58"
40,1.600057961999994,vn200,VNINS,-80.214,-5.353,-1.099,,,,,,,,,,354.251257,0000,F080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.251257,0000,F080,-080.214,-005.353,-001.099,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*27"
41,1.6400570609999932,vn200,VNINS,-80.214,-5.353,-1.1,,,,,,,,,,354.276256,0000,F080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.276256,0000,F080,-080.214,-005.353,-001.100,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*22"
42,1.6800603650000312,vn200,VNINS,-80.214,-5.351,-1.098,,,,,,,,,,354.301257,0000,F080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.301257,0000,F080,-080.214,-005.351,-001.098,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*20"
43,1.7200580749999972,vn200,VNINS,-80.215,-5.351,-1.099,,,,,,,,,,354.326256,0000,5080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.326256,0000,5080,-080.215,-005.351,-001.099,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*57"
44,1.7600590270000112,vn200,VNINS,-80.217,-5.351,-1.098,,,,,,,,,,354.351257,0000,5080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.351257,0000,5080,-080.217,-005.351,-001.098,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*55"
45,1.8000592189999907,vn200,VNINS,-80.218,-5.351,-1.099,,,,,,,,,,354.376256,0000,F880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.376256,0000,F880,-080.218,-005.351,-001.099,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*24"
46,1.8400580590000004,vn200,VNINS,-80.219,-5.351,-1.099,,,,,,,,,,354.401257,0000,F880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.401257,0000,F880,-080.219,-005.351,-001.099,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*23"
47,1.8800584730000196,vn200,VNINS,-80.218,-5.35,-1.099,,,,,,,,,,354.426256,0000,3880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.426256,0000,3880,-080.218,-005.350,-001.099,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*52"
48,1.9200580170000308,vn200,VNINS,-80.218,-5.35,-1.099,,,,,,,,,,354.451257,0000,3880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.451257,0000,3880,-080.218,-005.350,-001.099,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*53"
49,1.9600584500000195,vn200,VNINS,-80.219,-5.349,-1.1,,,,,,,,,,354.476257,0000,E080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.476257,0000,E080,-080.219,-005.349,-001.100,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*20"
50,2.0000580130000003,vn200,VNINS,-80.218,-5.35,-1.099,,,,,,,,,,354.501257,0000,E080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.501257,0000,E080,-080.218,-005.350,-001.099,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*29"
51,2.0400584270000195,vn200,VNINS,-80.219,-5.351,-1.1,,,,,,,,,,354.526256,0000,1080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.526256,0000,1080,-080.219,-005.351,-001.100,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*58"
52,2.0800575080000385,vn200,VNINS,-80.219,-5.351,-1.098,,,,,,,,,,354.551257,0000,1080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.551257,0000,1080,-080.219,-005.351,-001.098,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*59"
53,2.1200568040000007,vn200,VNINS,-80.219,-5.352,-1.098,,,,,,,,,,354.576256,0000,A080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.576256,0000,A080,-080.219,-005.352,-001.098,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*2E"
54,2.160064736000038,vn200,VNINS,-80.219,-5.351,-1.098,,,,,,,,,,354.601257,0000,A080,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.601257,0000,A080,-080.219,-005.351,-001.098,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*2F"
55,2.2000602980000394,vn200,VNINS,-80.219,-5.351,-1.098,,,,,,,,,,354.626257,0000,0880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.626257,0000,0880,-080.219,-005.351,-001.098,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*53"
56,2.2400600080000004,vn200,VNINS,-80.218,-5.353,-1.097,,,,,,,,,,354.651257,0000,0880,0.0,0.0,0.0,0.0,0.0,0.0,"$VNINS,000354.651257,0000,0880,-080.218,-005.353,-001.097,+00.00000000,+000.00000000,+00000.000,+000.000,+000.000,+000.000,99.99,99.99,9.999*5F"
